CÔNG TY TNHH GLORY SOFTWARE VIETNAM,,,,,,,,,,,,,,,,,,,,,,,,,,
,6353,,460500,Foreign exchange losses,#N/A,為替再評価差損,Losses from Exchange Rate Revaluation,Lỗ chênh lệch tỷ giá do đánh giá lại,,,,,,,,,,,,,,,-,-,Non-Ope-Exp,
641,,,431000,Sales miscellaneous expense,雑費(振込手数料等),販売費,Selling expenses,Chi phí bán hàng,,-,-,-,-,-,-,,-,-,,,,,-,-,SGA,
,,,,,0,,Souvenir to Japan,,,,,,,,,,,,,,,,-,-,SGA,
642,,,,0,0,一般管理費,General & administration expenses,Chi phí quản lý doanh nghiệp,,"1,406,574,547","1,106,941,214","1,444,174,547","1,416,174,547","1,106,941,214","1,155,214,547",,"1,058,574,547","1,146,941,214","1,791,674,547","1,081,674,547","1,181,941,214","1,204,174,547","15,101,001,235","15,101,001,235",,
,6421,,,0,0,管理部門給与,Office salaries,Chi phí nhân viên quản lý,,"693,346,769","672,346,769","1,076,346,769","1,048,346,769","672,346,769","787,386,769",,"685,346,769","672,346,769","1,128,846,769","710,846,769","747,346,769","676,346,769","9,571,201,233","9,571,201,233",SGA,
,,64211,,0,0,従業員,Management Expenses - Employees,Chi phí nhân viên quản lý - Nhân viên,,"148,655,103","148,655,103","148,655,103","148,655,103","148,655,103","148,655,103",,"148,655,103","148,655,103","148,655,103","148,655,103","148,655,103","148,655,103","1,783,861,233","1,783,861,233",SGA,
,,642111,430200,Salary&wages,給与,給与,Management Expenses - Employees - Salary,Chi phí nhân viên quản lý - Nhân viên - Lương,,"102,081,523","102,081,523","102,081,523","102,081,523","102,081,523","102,081,523",,"102,081,523","102,081,523","102,081,523","102,081,523","102,081,523","102,081,523","1,224,978,273","1,224,978,273",SGA,
,,642112,430200,Salary&wages,給与,保険料,Management Expenses - Employees - Insurance,Chi phí nhân viên quản lý - Nhân viên - Bảo hiểm,,"20,646,020","20,646,020","20,646,020","20,646,020","20,646,020","20,646,020",,"20,646,020","20,646,020","20,646,020","20,646,020","20,646,020","20,646,020","247,752,240","247,752,240",SGA,
,,642113,430200,Salary&wages,給与,労働組合費,Management Expenses - Employees - Union fee,Chi phí nhân viên quản lý - Nhân viên - KPCĐ,,"1,920,560","1,920,560","1,920,560","1,920,560","1,920,560","1,920,560",,"1,920,560","1,920,560","1,920,560","1,920,560","1,920,560","1,920,560","23,046,720","23,046,720",SGA,
,,642114,430200,Salary&wages,給与,税金,Management Expenses - Employees - Tax,Chi phí nhân viên quản lý - Nhân viên - Thuế,,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,SGA,
,,642115,430300,Bonuses,賞与金,ボーナス,Management Expenses - Employees - Bonus,Chi phí nhân viên quản lý - Nhân viên - Tiền thưởng,,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,SGA,
,,642116,430400,Provision for bonuses,賞与引当金繰入,賞与引当金繰入額,Provision for bonuses,Dự phòng tiền thưởng - Nhân viên VN,,"24,007,000","24,007,000","24,007,000","24,007,000","24,007,000","24,007,000",,"24,007,000","24,007,000","24,007,000","24,007,000","24,007,000","24,007,000","288,084,000","288,084,000",SGA,
,,642117,430200,Salary&wages,給与,給与,Management Expenses - Employees - Business trip allowance,Trợ cấp công tác phí - Nhân viên VN,,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,SGA,
,,64212,,0,0,日本人の管理者,Management Expenses - Manager,Chi phí nhân viên quản lý - Quản lý người Nhật,,"270,236,111","270,236,111","654,236,111","270,236,111","270,236,111","270,236,111",,"270,236,111","270,236,111","704,236,111","270,236,111","270,236,111","270,236,111","4,060,833,333","4,060,833,333",SGA,
,,642121,430200,Salary&wages,給与,給与,Management Expenses - Manager - Salary,Chi phí nhân viên quản lý - Quản lý người Nhật - Lương,,"144,166,667","144,166,667","144,166,667","144,166,667","144,166,667","144,166,667",,"144,166,667","144,166,667","144,166,667","144,166,667","144,166,667","144,166,667","1,730,000,000","1,730,000,000",SGA,
,,642122,430200,Salary&wages,給与,保険料,Management Expenses - Manager - Insurance,Chi phí nhân viên quản lý - Quản lý người Nhật - Bảo hiểm,,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,SGA,
,,642123,430200,Salary&wages,給与,労働組合費,Management Expenses - Manager - Union fee,Chi phí nhân viên quản lý - Quản lý người Nhật - KPCĐ,,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,SGA,
,,642124,430200,Salary&wages,給与,税金,Management Expenses - Manager - Tax,Chi phí nhân viên quản lý - Quản lý người Nhật - Thuế,,"66,000,000","66,000,000","450,000,000","66,000,000","66,000,000","66,000,000",,"66,000,000","66,000,000","500,000,000","66,000,000","66,000,000","66,000,000","1,610,000,000","1,610,000,000",SGA,
,,642125,430300,Bonuses,賞与金,ボーナス,Management Expenses - Manager - Bonus,Chi phí nhân viên quản lý - Quản lý người Nhật - Tiền thưởng,,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,SGA,
,,642126,430400,Provision for bonuses,賞与引当金繰入,賞与引当金繰入額,Provision for bonuses,Dự phòng tiền thưởng Quản lý người Nhật,,"60,069,444","60,069,444","60,069,444","60,069,444","60,069,444","60,069,444",,"60,069,444","60,069,444","60,069,444","60,069,444","60,069,444","60,069,444","720,833,333","720,833,333",SGA,
,,642127,430200,Salary&wages,給与,出張手当,Management Expenses - Manager - business trip allowance,Chi phí nhân viên quản lý_Quản lý NN_Phụ cấp công tác phí,,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,SGA,
,,64213,430900,Welfare expense,福利厚生費,アパートレンタル料,Expense for apartment rental fees_JPs staff,Chi phí thuê nhà cho người nước ngoài,,"40,000,000","40,000,000","40,000,000","40,000,000","40,000,000","40,000,000",,"40,000,000","40,000,000","40,000,000","40,000,000","40,000,000","40,000,000","480,000,000","480,000,000",SGA,
,,64214,430900,Welfare expense,福利厚生費,外国人の子供の学費,Tuition for foreigner's children,Học phí cho con người nước ngoài,,"105,555,556","105,555,556","105,555,556","105,555,556","105,555,556","105,555,556",,"105,555,556","105,555,556","105,555,556","105,555,556","105,555,556","105,555,556","1,266,666,667","1,266,666,667",SGA,
,,64218,430900,Welfare expense,福利厚生費,福利費用,Welfare expense for staff,Chi phí phúc lợi cho nhân viên,,"128,900,000","107,900,000","127,900,000","483,900,000","107,900,000","222,940,000",,"120,900,000","107,900,000","130,400,000","146,400,000","182,900,000","111,900,000","1,979,840,000","1,979,840,000",SGA,
,,,,,,,Company trip,"July 5,000,000/ person","5,000,000",,,,"375,000,000",,,,,,,,,,,,,
,,,,,,,Vietnamese Women's Day,"10 月 200,000 VND/ person","4,000,000",,,,,,,,"4,000,000",,,,,,,,,
,,,,,,,Periodic health （健康診断）,"10月 1,600,000 VND/person","1,600,000",,,,,,,,"8,000,000",,,,,,,,,
,,,,,,,Christmas party,"12月 300,000 VND / person.","300,000",,,,,,,,,,"22,500,000",,,,,,,
,,,,,,,Year end party,"1月 1,000,000 VND/ person","1,000,000",,,,,,,,,,,,"75,000,000",,,,,
,,,,,,,Company birthday,"2月 500,000 VND / 1 person","500,000",,,,,,,,,,,"37,500,000",,,,,,
,,,,,,,International Women's Day,"3月 200,000 VND/ person","4,000,000",,,,,,,,,,,,,"4,000,000",,,,
,,,,,,,"Other(Marriage, Childbirth, Sickness,Funeral)","Marriage:2,000,000 VND, Childbirth/Sickness/Funeral : 1,000,000 VND","166,667","1,250,000","1,250,000","1,250,000","1,250,000","1,250,000","1,250,000",,"1,250,000","1,250,000","1,250,000","1,250,000","1,250,000","1,250,000",,,,
,,,,,,,Happy birthday,"200,000 VND/person","200,000","1,250,000","1,250,000","1,250,000","1,250,000","1,250,000","1,250,000",,"1,250,000","1,250,000","1,250,000","1,250,000","1,250,000","1,250,000",,,,
,,,,,,,チームビルディング（開発人員）,"プロジェクト毎に100,000VND/1人月","100,000","6,900,000","6,900,000","6,900,000","6,900,000","6,900,000","6,900,000",,"6,900,000","6,900,000","6,900,000","6,900,000","6,900,000","6,900,000",,,,
,,,,,,,チームビルディング（間接人員）,"四半期毎に200,000VND/ person","200,000","1,000,000",,,"1,000,000",,,,"1,000,000",,,"1,000,000",,,,,,
,,,,,,,Mr.Shimizu's benefit (health insurance)_WELLBE,,"20,000,000",,,"20,000,000",,,,,,,,,,,,,,
,,,,,,,清水さん保険（損保ジャパン、疾病）,179.750 JPY,"28,760,000",,,,,,"28,760,000",,,,,,,,,,,
,,,,,,,家族の保険（損保ジャパン、疾病）,179.750 JPY x 3,"86,280,000",,,,,,"86,280,000",,,,,,,,,,,
,,,,,,,TRC Mr.Shimizu and Family,TRC: 5.000.000/ 1 person;,"5,000,000","20,000,000",,,,,,,,,,,,,,,,
,,,,,,,Happy Friday,1.500.000 vnd/ 1 time. Monthly: 6.000.000 vnd,"6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000",,"6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000",,,,
,,,,,,,"Technical certificate (learning and testing) 10,000,000 / 1person",,"10,000,000","62,500,000","62,500,000","62,500,000","62,500,000","62,500,000","62,500,000",,"62,500,000","62,500,000","62,500,000","62,500,000","62,500,000","62,500,000",,,,
,,,,,,,"English, Japanese",,"30,000,000","30,000,000","30,000,000","30,000,000","30,000,000","30,000,000","30,000,000",,"30,000,000","30,000,000","30,000,000","30,000,000","30,000,000","30,000,000",,,,
,6422,,,0,0,事務用品費,Indirect materials,Chi phí vật liệu quản lý,,,,,,,,,,,,,,,-,-,SGA,
,6423,,431700,Supplies expense,消耗品費,消耗工具備品費,Office supplies,Chi phí đồ dùng văn phòng,"10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000",,"10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","120,000,000","120,000,000",SGA,
,6424,,432000,Depreciation expense,減価償却費,固定資産の減価償却費,Depreciation,Chi phí khấu hao TSCĐ,"177,778","177,778","177,778","177,778","177,778","177,778","177,778",,"177,778","177,778","177,778","177,778","177,778","177,778","2,133,336","2,133,336",SGA,
,6425,,431900,Taxes and dues,租税公課,租税公課,"Taxes, fees and charges","Thuế, phí và lệ phí",,,,,,,,,,,,"3,000,000",,,"3,000,000","3,000,000",SGA,
,6426,,,0,0,引当金,Expenses from provisions,Chi phí dự phòng,,,,,,,,,,,,,,,-,-,SGA,
,6427,,,0,0,外部用役費,Services rendered by outsiders,Chi phí dịch vụ mua ngoài,,"658,050,000","332,650,000","332,650,000","332,650,000","332,650,000","332,650,000",,"338,050,000","332,650,000","627,650,000","332,650,000","332,650,000","492,650,000","4,777,600,000","4,777,600,000",SGA,
,,64271,432400,Rent expense,家賃地代,事務所レンタル料,Office rental fee,Chi phí thuê văn phòng,"220,000,000","44,000,000","44,000,000","44,000,000","44,000,000","44,000,000","44,000,000",,"44,000,000","44,000,000","44,000,000","44,000,000","44,000,000","44,000,000","528,000,000","528,000,000",SGA,
,,64272,431600,Utilities expense,水道光熱費,電話・インターネット・電気代,"Electricity, water,…","Tiền điện, nước,... (quản lý)","20,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000",,"4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","48,000,000","48,000,000",SGA,
,,64273,431500,Communication expense,通信費,電気通信料金,Telecommunications,"Dịch vụ viễn thông (điện thoại, internet, card...)",,"1,850,000","1,850,000","1,850,000","1,850,000","1,850,000","1,850,000",,"1,850,000","1,850,000","1,850,000","1,850,000","1,850,000","1,850,000","22,200,000","22,200,000",SGA,
,,,,,,,,diện thoại,"300,000","300,000","300,000","300,000","300,000","300,000","300,000",,"300,000","300,000","300,000","300,000","300,000","300,000",,,,
,,,,,,,,internet,"1,250,000","1,250,000","1,250,000","1,250,000","1,250,000","1,250,000","1,250,000",,"1,250,000","1,250,000","1,250,000","1,250,000","1,250,000","1,250,000",,,,
,,,,,,,,Mail,"1,500,000","300,000","300,000","300,000","300,000","300,000","300,000",,"300,000","300,000","300,000","300,000","300,000","300,000",,,,
,,64274,432600,Commission,支払手数料,コンサルティング費用,"Consutanl fee (lawyer, recuitment, accounting...)","Chi phí dịch vụ tư vấn (kế toán, tuyển dụng,luật...)",,"547,800,000","227,800,000","227,800,000","227,800,000","227,800,000","227,800,000",,"227,800,000","227,800,000","522,800,000","227,800,000","227,800,000","387,800,000","3,508,600,000","3,508,600,000",SGA,
,,,,,,,,"3SI, service commission fee (Ubqlar)","66,400,000","132,800,000","132,800,000","132,800,000","132,800,000","132,800,000","132,800,000",,"132,800,000","132,800,000","132,800,000","132,800,000","132,800,000","132,800,000","1,593,600,000",,,
,,,,,,,,Recruite,"720,000,000","60,000,000","60,000,000","60,000,000","60,000,000","60,000,000","60,000,000",,"60,000,000","60,000,000","60,000,000","60,000,000","60,000,000","60,000,000","720,000,000",,,
,,,,,,,,Audit,"400,000,000",,,,,,,,,,"240,000,000",,,"160,000,000","400,000,000",,,
,,,,,,,,AGS,"35,000,000","35,000,000","35,000,000","35,000,000","35,000,000","35,000,000","35,000,000",,"35,000,000","35,000,000","35,000,000","35,000,000","35,000,000","35,000,000","420,000,000",,,
,,,,,,,,EY (PIT),"200,000,000","200,000,000",,,,,,,,,,,,,"200,000,000",,,
,,,,,,,,Legal fee (Transfer Price docs),"200,000,000","120,000,000",,,,,,,,,,,,,"120,000,000",,,
,,,,,,,,D&O insurance,"55,000,000",,,,,,,,,,"55,000,000",,,,,,,
,,64275,439900,Other expenses,雑費(振込手数料等),銀行手数料,Bank charge,Phí ngân hàng,"6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000",,"6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","72,000,000","72,000,000",SGA,
,,64276,431500,Communication expense,通信費,郵送費、他のサービス,Delivery fee,Phí vận chuyển,"22,000,000","22,000,000","22,000,000","22,000,000","22,000,000","22,000,000","22,000,000",,"22,000,000","22,000,000","22,000,000","22,000,000","22,000,000","22,000,000","264,000,000","264,000,000",SGA,
,,64278,432600,Commission,支払手数料,その他外部用役費,Other services,Chi phí dịch vụ mua ngoài khác,,"32,400,000","27,000,000","27,000,000","27,000,000","27,000,000","27,000,000",,"32,400,000","27,000,000","27,000,000","27,000,000","27,000,000","27,000,000","334,800,000","334,800,000",SGA,
,,,,,,,,Truong Xanh,"9,000,000","9,000,000","9,000,000","9,000,000","9,000,000","9,000,000","9,000,000",,"9,000,000","9,000,000","9,000,000","9,000,000","9,000,000","9,000,000",,,,
,,,,,,,,"Cleaning (AC, chair)","5,400,000","5,400,000",,,,,,,"5,400,000",,,,,,,,,
,,,,,,,,Konica,"3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000",,"3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000",,,,
,,,,,,,,HRM system,"15,000,000","15,000,000","15,000,000","15,000,000","15,000,000","15,000,000","15,000,000",,"15,000,000","15,000,000","15,000,000","15,000,000","15,000,000","15,000,000",,,,
,6428,,,0,0,その他現金出金,Sundry cash expenses,Chi phí bằng tiền khác,,"45,000,000","91,766,667","25,000,000","25,000,000","91,766,667","25,000,000",,"25,000,000","131,766,667","25,000,000","25,000,000","91,766,667","25,000,000","627,066,667","627,066,667",SGA,
,,64281,431300,Entertaiment expense,接待交際費,交際費,Public relations expenses,Chi phí tiếp khách,,"8,333,333","8,333,333","8,333,333","8,333,333","8,333,333","8,333,333",,"8,333,333","8,333,333","8,333,333","8,333,333","8,333,333","8,333,333","100,000,000","100,000,000",SGA,
,,64282,431400,Transportation expense,旅費交通費,出張費,Business trip expenses,Phí công tác,,"16,666,667","83,433,333","16,666,667","16,666,667","83,433,333","16,666,667",,"16,666,667","83,433,333","16,666,667","16,666,667","83,433,333","16,666,667","467,066,667","467,066,667",SGA,
,,64287,439900,Other expenses,雑費(振込手数料等),その他現金出金,Sundry cash expenses,Chi phí bằng tiền khác,,"20,000,000",-,-,-,-,-,,-,"40,000,000",-,-,-,-,"60,000,000","60,000,000",SGA,
,,,,,,,,"Da Nang city, Disaster prevention fund","10,000,000",,,,,,,,,"10,000,000",,,,,,,,
,,,,,,,,Other fund,"50,000,000","20,000,000",,,,,,,,"30,000,000",,,,,,,,
711,,,,0,0,その他収入,Other income,Thu nhập khác,,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,Non-Ope-Income,
,7118,,459900,Miscellaneous incomes,#N/A,その他収入,Other income,Thu nhập khác,,,,,,,,,,,,,,,-,-,Non-Ope-Income,
811,,,,0,0,その他費用,Other expenses,Chi phí khác,,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,SGA,
,8111,,432900,Miscellaneous loss,雑費(振込手数料等),その他費用,"Other expenses - Compensation, fines and other costs","Chi phí khác - Bồi thường, bị phạt và CP khác",,,,,,,,,,,,,,,-,-,SGA,
,8118,,432900,Miscellaneous loss,雑費(振込手数料等),その他費用,Other expenses - Difference payment,Chi phí khác - Chênh lệch thanh toán,,,,,,,,,,,,,,,-,-,SGA,
821,,,,0,0,法人税,Business Income tax charge,Chi phí thuế thu nhập doanh nghiệp,,"80,000,000","80,000,000","80,000,000","80,000,000","80,000,000","80,000,000",,"80,000,000","80,000,000","80,000,000","80,000,000","80,000,000","80,000,000","960,000,000","960,000,000",,
,8211,,510100,Current business income tax charge,法人税、住民税及び事業税,当期法人所得税,Current business income tax charge,Chi phí thuế TNDN hiện hành,"80,000,000","80,000,000","80,000,000","80,000,000","80,000,000","80,000,000","80,000,000",,"80,000,000","80,000,000","80,000,000","80,000,000","80,000,000","80,000,000","960,000,000","960,000,000",SGA,
,8212,,510200,,#N/A,繰延法人所得税,Deffered business income tax charge,Chi phí thuế TNDN hoãn lại,,,,,,,,,,,,,,,-,-,,
,,,,,,,,Grand Total (合計）,,"45,852,798","343,709,205","8,708,817","36,876,092","346,180,845","298,555,863",,"396,373,042","310,302,183","-334,350,905","371,315,761","271,156,571","251,993,529","2,346,673,798",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Truong Xanh,"9,000,000","9,000,000","9,000,000","9,000,000","9,000,000","9,000,000","9,000,000",,"9,000,000","9,000,000","9,000,000","9,000,000","9,000,000","9,000,000","108,000,000",,,
,,,,,,,,"Cleaning (AC, chair)","5,400,000","5,400,000",,,,,,,"5,400,000",,,,,,"10,800,000",,,
,,,,,,,,Konica,"3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000",,"3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","36,000,000",,,
,,,,,,,,Customs declaration software,"150,000","150,000","150,000","150,000","150,000","150,000","150,000",,"150,000","150,000","150,000","150,000","150,000","150,000","1,800,000",,,
,,,,,,,,HRM system,"15,000,000","15,000,000","15,000,000","15,000,000","15,000,000","15,000,000","15,000,000",,"15,000,000","15,000,000","15,000,000","15,000,000","15,000,000","15,000,000","180,000,000",,,
,,,,,,,,FAST e-Invoice,"34,444","34,444","34,444","34,444","34,444","34,444","34,444",,"34,444","34,444","34,444","34,444","34,444","34,444","413,328",,,
,,,,,,,,Chữ ký số NC-CA,"100,000","100,000","100,000","100,000","100,000","100,000","100,000",,"100,000","100,000","100,000","100,000","100,000","100,000","1,200,000",,,
,,,,,,,,Fast Accounting Online,"266,667","266,667","266,667","266,667","266,667","266,667","266,667",,"266,667","266,667","266,667","266,667","266,667","266,667","3,200,004",,,
,,,,,,,,Phần mềm ứng dụng GGWA - Windows 11,"230,556","230,556","230,556","230,556","230,556","230,556","230,556",,"230,556","230,556","230,556","230,556","230,556","230,556","2,766,672",,,
,,,,,,,,Mua phần mềm Windows GGWA/ Buy Windows GGWA application software_Inv 00000672 (19/03)_PACISOFT,"238,889","238,889","238,889","238,889","238,889","238,889","238,889",,"238,889","238,889","238,889","238,889","238,889","238,889","2,866,668",,,
,,,,,,,,Thi công cải tạo nội thất VP làm việc/ Construction and renovation of office furniture_Inv 3 (29/07/2025)_TAT GREEN,"2,454,140","2,454,140","2,454,140","2,454,140","2,454,140","2,454,140","2,454,140",,"2,454,140","2,454,140","2,454,140","2,454,140","2,454,140","2,454,140","29,449,680",,,
,6428,,,0,0,その他現金出金,Sundry cash expenses,Chi phí bằng tiền khác,,"45,000,000","91,766,667","25,000,000","25,000,000","91,766,667","25,000,000",,"25,000,000","131,766,667","25,000,000","25,000,000","91,766,667","25,000,000","627,066,667","627,066,667",SGA,
,,64281,431300,Entertaiment expense,接待交際費,交際費,Public relations expenses,Chi phí tiếp khách,,"8,333,333","8,333,333","8,333,333","8,333,333","8,333,333","8,333,333",,"8,333,333","8,333,333","8,333,333","8,333,333","8,333,333","8,333,333","100,000,000","100,000,000",SGA,
,,64282,431400,Transportation expense,旅費交通費,出張費,Business trip expenses,Phí công tác,,"16,666,667","83,433,333","16,666,667","16,666,667","83,433,333","16,666,667",,"16,666,667","83,433,333","16,666,667","16,666,667","83,433,333","16,666,667","467,066,667","467,066,667",SGA,
,,64287,439900,Other expenses,雑費(振込手数料等),その他現金出金,Sundry cash expenses,Chi phí bằng tiền khác,,"20,000,000",-,-,-,-,-,,-,"40,000,000",-,-,-,-,"60,000,000","60,000,000",SGA,
,,,,,,,,"Da Nang city, Disaster prevention fund","10,000,000",,,,,,,,,"10,000,000",,,,,,,,
,,,,,,,,Other fund,"50,000,000","20,000,000",,,,,,,,"30,000,000",,,,,,,,
711,,,,0,0,その他収入,Other income,Thu nhập khác,,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,Non-Ope-Income,
,7118,,459900,Miscellaneous incomes,#N/A,その他収入,Other income,Thu nhập khác,,,,,,,,,,,,,,,-,-,Non-Ope-Income,
811,,,,0,0,その他費用,Other expenses,Chi phí khác,,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,SGA,
,8111,,432900,Miscellaneous loss,雑費(振込手数料等),その他費用,"Other expenses - Compensation, fines and other costs","Chi phí khác - Bồi thường, bị phạt và CP khác",,,,,,,,,,,,,,,-,-,SGA,
,8118,,432900,Miscellaneous loss,雑費(振込手数料等),その他費用,Other expenses - Difference payment,Chi phí khác - Chênh lệch thanh toán,,,,,,,,,,,,,,,-,-,SGA,
821,,,,0,0,法人税,Business Income tax charge,Chi phí thuế thu nhập doanh nghiệp,,"80,000,000","80,000,000","80,000,000","80,000,000","80,000,000","80,000,000",,"80,000,000","80,000,000","80,000,000","80,000,000","80,000,000","80,000,000","960,000,000","960,000,000",,
,8211,,510100,Current business income tax charge,法人税、住民税及び事業税,当期法人所得税,Current business income tax charge,Chi phí thuế TNDN hiện hành,"80,000,000","80,000,000","80,000,000","80,000,000","80,000,000","80,000,000","80,000,000",,"80,000,000","80,000,000","80,000,000","80,000,000","80,000,000","80,000,000","960,000,000","960,000,000",SGA,
,8212,,510200,,#N/A,繰延法人所得税,Deffered business income tax charge,Chi phí thuế TNDN hoãn lại,,,,,,,,,,,,,,,-,-,,
,,,,,,,,Grand Total (合計）,,"574,558,344","734,191,678","416,958,344","424,958,344","734,191,678","492,091,859",,"743,291,051","696,424,385","70,868,829","755,868,829","655,709,640","561,325,236","6,860,438,220",,,