#1,,,,,,,,,,#2,,,,,,,,,
,,62788,COGS62788,Other sundry costs paid in cash,雑費(振込手数料等),その他現金出金,Other sundry costs paid in cash,Chi phí bằng tiền khác,,,,62778,COGS62778,Other services rendered,支払手数料,,Illustrator,,
,,62789,COGS62789,Expenses without invoice,雑費(振込手数料等),製造の損金不算入費用,Expenses without invoice,Chi phí sản xuất không hợp lệ,,,,62778,COGS62778,Other services rendered,支払手数料,,Microsoft 365,,
154,,,,0,0,仕掛品,Cost for work in process,"Chi phí sản xuất, kinh doanh dở dang",,,,62778,COGS62778,Other services rendered,支払手数料,,Construction,,
,1541,,,0,0,仕掛品（サービス・建物）,Work in progress for services and constructions,"Chi phí sản xuất, kinh doanh dở dang (dịch vụ, công trình)",,,,62778,COGS62778,Other services rendered,支払手数料,,GGWA,,
632,,,,0,0,売上原価,Cost of goods sold,Giá vốn hàng bán,,,,62778,COGS62778,Other services rendered,支払手数料,,VMWare Software,,
,6323,,,0,0,サービス提供の売上原価,Cost of goods sold - service,Giá vốn hàng bán dịch vụ,,,,62778,COGS62778,Other services rendered,支払手数料,,JIRA/Confluence,,
,,63231,410100,cost of merchandise and finished goods,0,サービス提供の売上原価,COGS - service: Software development,Giá vốn hàng bán dịch vụ,,,,62778,COGS62778,Other services rendered,支払手数料,,MDM,,"49,800"
,,63232,410200,cost of maintenance,#N/A,サービス提供の売上原価,COGS - service: System Support Service,Giá vốn hàng bán dịch vụ,,,,62778,COGS62778,Other services rendered,支払手数料,,Cloud,,
,,63238,410200,cost of maintenance,#N/A,サービス提供の売上原価,COGS - service: Marketing,Giá vốn hàng bán dịch vụ,,,,62778,COGS62778,Other services rendered,支払手数料,,HRM system,,"8,400,000"
635,,,,0,0,財務費用,Financial activities expenses,Chi phí tài chính,,,,62778,COGS62778,Other services rendered,支払手数料,,Japan Quality,JQ fee,"80,000,000"
,6351,,460500,Foreign exchange losses,#N/A,発生取引の為替差損,Losses of Exchange Rate Differences Arising in Current Period,Chênh lệch lỗ tỷ giá phát sinh trong kỳ,,,,62778,COGS62778,Other services rendered,支払手数料,,Periodic health （健康診断）,"10月 1,600,000 VND/person (80%)","1,800,000"
,6352,,460100,Interest paid,#N/A,借入利息,Interest Expenses,Chi phí lãi vay,,,6278,,,0,0,その他現金出金,Sundry costs paid in cash,Chi phí bằng tiền khác,
,6353,,460500,Foreign exchange losses,#N/A,為替再評価差損,Losses from Exchange Rate Revaluation,Lỗ chênh lệch tỷ giá do đánh giá lại,,,,62788,COGS62788,Other sundry costs paid in cash,雑費(振込手数料等),その他現金出金,Other sundry costs paid in cash,Chi phí bằng tiền khác,
641,,,431000,Sales miscellaneous expense,雑費(振込手数料等),販売費,Selling expenses,Chi phí bán hàng,,,,,,,,,,,
,,,,,0,,Souvenir to Japan,,,,,,,,,,,,
642,,,,0,0,一般管理費,General & administration expenses,Chi phí quản lý doanh nghiệp,,632,,,,0,0,売上原価,Cost of goods sold,Giá vốn hàng bán,
,6421,,,0,0,管理部門給与,Office salaries,Chi phí nhân viên quản lý,,,6323,,,0,0,サービス提供の売上原価,Cost of goods sold - service,Giá vốn hàng bán dịch vụ,
,,64211,,0,0,従業員,Management Expenses - Employees,Chi phí nhân viên quản lý - Nhân viên,,,,63231,410100,cost of merchandise and finished goods,0,サービス提供の売上原価,COGS - service: Software development,Giá vốn hàng bán dịch vụ,
,,642111,430200,Salary&wages,給与,給与,Management Expenses - Employees - Salary,Chi phí nhân viên quản lý - Nhân viên - Lương,,,,63232,410200,cost of maintenance,#N/A,サービス提供の売上原価,COGS - service: System Support Service,Giá vốn hàng bán dịch vụ,
,,642112,430200,Salary&wages,給与,保険料,Management Expenses - Employees - Insurance,Chi phí nhân viên quản lý - Nhân viên - Bảo hiểm,,,,63233,410300,cost of market research,,,,,
,,642113,430200,Salary&wages,給与,労働組合費,Management Expenses - Employees - Union fee,Chi phí nhân viên quản lý - Nhân viên - KPCĐ,,635,,,,0,0,財務費用,Financial activities expenses,Chi phí tài chính,
,,642114,430200,Salary&wages,給与,税金,Management Expenses - Employees - Tax,Chi phí nhân viên quản lý - Nhân viên - Thuế,,,6351,,460500,Foreign exchange losses,#N/A,発生取引の為替差損,Losses of Exchange Rate Differences Arising in Current Period,Chênh lệch lỗ tỷ giá phát sinh trong kỳ,
,,642115,430300,Bonuses,賞与金,ボーナス,Management Expenses - Employees - Bonus,Chi phí nhân viên quản lý - Nhân viên - Tiền thưởng,,,6352,,460100,Interest paid,#N/A,借入利息,Interest Expenses,Chi phí lãi vay,
,,642116,430400,Provision for bonuses,賞与引当金繰入,賞与引当金繰入額,Provision for bonuses,Dự phòng tiền thưởng - Nhân viên VN,,,6353,,460500,Foreign exchange losses,#N/A,為替再評価差損,Losses from Exchange Rate Revaluation,Lỗ chênh lệch tỷ giá do đánh giá lại,
,,642117,430200,Salary&wages,給与,給与,Management Expenses - Employees - Business trip allowance,Trợ cấp công tác phí - Nhân viên VN,,641,,,431000,Sales miscellaneous expense,雑費(振込手数料等),販売費,Selling expenses,Chi phí bán hàng,
,,64212,,0,0,日本人の管理者,Management Expenses - Manager,Chi phí nhân viên quản lý - Quản lý người Nhật,,,,,,,0,,Souvenir to Japan,,
,,642121,430200,Salary&wages,給与,給与,Management Expenses - Manager - Salary,Chi phí nhân viên quản lý - Quản lý người Nhật - Lương,,642,,,,0,0,一般管理費,General & administration expenses,Chi phí quản lý doanh nghiệp,
,,642122,430200,Salary&wages,給与,保険料,Management Expenses - Manager - Insurance,Chi phí nhân viên quản lý - Quản lý người Nhật - Bảo hiểm,,,6421,,,0,0,管理部門給与,Office salaries,Chi phí nhân viên quản lý,
,,642123,430200,Salary&wages,給与,労働組合費,Management Expenses - Manager - Union fee,Chi phí nhân viên quản lý - Quản lý người Nhật - KPCĐ,,,,64211,,0,0,従業員,Management Expenses - Employees,Chi phí nhân viên quản lý - Nhân viên,
,,642124,430200,Salary&wages,給与,税金,Management Expenses - Manager - Tax,Chi phí nhân viên quản lý - Quản lý người Nhật - Thuế,,,,642111,430200,Salary&wages,給与,給与,Management Expenses - Employees - Salary,Chi phí nhân viên quản lý - Nhân viên - Lương,
,,642125,430300,Bonuses,賞与金,ボーナス,Management Expenses - Manager - Bonus,Chi phí nhân viên quản lý - Quản lý người Nhật - Tiền thưởng,,,,642112,430200,Salary&wages,給与,保険料,Management Expenses - Employees - Insurance,Chi phí nhân viên quản lý - Nhân viên - Bảo hiểm,
,,642126,430400,Provision for bonuses,賞与引当金繰入,賞与引当金繰入額,Provision for bonuses,Dự phòng tiền thưởng Quản lý người Nhật,,,,642113,430200,Salary&wages,給与,労働組合費,Management Expenses - Employees - Union fee,Chi phí nhân viên quản lý - Nhân viên - KPCĐ,
,,642127,430200,Salary&wages,給与,出張手当,Management Expenses - Manager - business trip allowance,Chi phí nhân viên quản lý_Quản lý NN_Phụ cấp công tác phí,,,,642114,430200,Salary&wages,給与,税金,Management Expenses - Employees - Tax,Chi phí nhân viên quản lý - Nhân viên - Thuế,
,,64213,430900,Welfare expense,福利厚生費,アパートレンタル料,Expense for apartment rental fees_JPs staff,Chi phí thuê nhà cho người nước ngoài,,,,642115,430300,Bonuses,賞与金,ボーナス,Management Expenses - Employees - Bonus,Chi phí nhân viên quản lý - Nhân viên - Tiền thưởng,
,,64214,430900,Welfare expense,福利厚生費,外国人の子供の学費,Tuition for foreigner's children,Học phí cho con người nước ngoài,,,,642116,430400,Provision for bonuses,賞与引当金繰入,賞与引当金繰入額,Provision for bonuses,Dự phòng tiền thưởng - Nhân viên VN,
,,64218,430900,Welfare expense,福利厚生費,福利費用,Welfare expense for staff,Chi phí phúc lợi cho nhân viên,,,,642117,430200,Salary&wages,給与,給与,Management Expenses - Employees - Business trip allowance,Trợ cấp công tác phí - Nhân viên VN,
,6422,,,0,0,事務用品費,Indirect materials,Chi phí vật liệu quản lý,,,,64212,,0,0,日本人の管理者,Management Expenses - Manager,Chi phí nhân viên quản lý - Quản lý người Nhật,
,6423,,431700,Supplies expense,消耗品費,消耗工具備品費,Office supplies,Chi phí đồ dùng văn phòng,,,,642121,430200,Salary&wages,給与,給与,Management Expenses - Manager - Salary,Chi phí nhân viên quản lý - Quản lý người Nhật - Lương,
,6424,,432000,Depreciation expense,減価償却費,固定資産の減価償却費,Depreciation,Chi phí khấu hao TSCĐ,,,,642122,430200,Salary&wages,給与,保険料,Management Expenses - Manager - Insurance,Chi phí nhân viên quản lý - Quản lý người Nhật - Bảo hiểm,
,6425,,431900,Taxes and dues,租税公課,租税公課,"Taxes, fees and charges","Thuế, phí và lệ phí",,,,642123,430200,Salary&wages,給与,労働組合費,Management Expenses - Manager - Union fee,Chi phí nhân viên quản lý - Quản lý người Nhật - KPCĐ,
,6426,,,0,0,引当金,Expenses from provisions,Chi phí dự phòng,,,,642124,430200,Salary&wages,給与,税金,Management Expenses - Manager - Tax,Chi phí nhân viên quản lý - Quản lý người Nhật - Thuế,
,6427,,,0,0,外部用役費,Services rendered by outsiders,Chi phí dịch vụ mua ngoài,,,,642125,430300,Bonuses,賞与金,ボーナス,Management Expenses - Manager - Bonus,Chi phí nhân viên quản lý - Quản lý người Nhật - Tiền thưởng,
,,64271,432400,Rent expense,家賃地代,事務所レンタル料,Office rental fee,Chi phí thuê văn phòng,,,,642126,430400,Provision for bonuses,賞与引当金繰入,賞与引当金繰入額,Provision for bonuses,Dự phòng tiền thưởng Quản lý người Nhật,
,,64272,431600,Utilities expense,水道光熱費,電話・インターネット・電気代,"Electricity, water,…","Tiền điện, nước,... (quản lý)",,,,642127,430200,Salary&wages,給与,出張手当,Management Expenses - Manager - business trip allowance,Chi phí nhân viên quản lý_Quản lý NN_Phụ cấp công tác phí,
,,64273,431500,Communication expense,通信費,電気通信料金,Telecommunications,"Dịch vụ viễn thông (điện thoại, internet, card...)",,,,64213,430900,Welfare expense,福利厚生費,アパートレンタル料,Expense for apartment rental fees_JPs staff,Chi phí thuê nhà cho người nước ngoài,
,,64274,432600,Commission,支払手数料,コンサルティング費用,"Consutanl fee (lawyer, recuitment, accounting...)","Chi phí dịch vụ tư vấn (kế toán, tuyển dụng,luật...)",,,,64214,430900,Welfare expense,福利厚生費,外国人の子供の学費,Tuition for foreigner's children,Học phí cho con người nước ngoài,
,,64275,439900,Other expenses,雑費(振込手数料等),銀行手数料,Bank charge,Phí ngân hàng,,,,64218,430900,Welfare expense,福利厚生費,福利費用,Welfare expense for staff,Chi phí phúc lợi cho nhân viên,
,,64276,431500,Communication expense,通信費,郵送費、他のサービス,Delivery fee,Phí vận chuyển,,,,,,,,,Company trip,"July 5,000,000/ person","5,000,000"
,,64278,432600,Commission,支払手数料,その他外部用役費,Other services,Chi phí dịch vụ mua ngoài khác,,,,,,,,,Vietnamese Women's Day,"10 月 200,000 VND/ person","4,000,000"
,6428,,,0,0,その他現金出金,Sundry cash expenses,Chi phí bằng tiền khác,,,,,,,,,Periodic health （健康診断）,"10月 1,600,000 VND/person","1,600,000"
,,64281,431300,Entertaiment expense,接待交際費,交際費,Public relations expenses,Chi phí tiếp khách,,,,,,,,,Christmas party,"12月 300,000 VND / person.","300,000"
,,64282,431400,Transportation expense,旅費交通費,出張費,Business trip expenses,Phí công tác,,,,,,,,,Year end party,"1月 1,000,000 VND/ person","1,000,000"
,,64287,439900,Other expenses,雑費(振込手数料等),その他現金出金,Sundry cash expenses,Chi phí bằng tiền khác,,,,,,,,,Company birthday,"2月 500,000 VND / 1 person","500,000"
,,64288,439900,Other expenses,雑費(振込手数料等),3Sが立替支払ったその他費用,Other expenses that 3S paid on behalf,Chi phí khác do 3S chi hộ,,,,,,,,,International Women's Day,"3月 200,000 VND/ person","4,000,000"
,,64289,439900,Other expenses,雑費(振込手数料等),損金不算入管理費用,Expenses without invoice,Chi phí quản lý không hợp lệ,,,,,,,,,"Other(Marriage, Childbirth, Sickness,Funeral)","Marriage:2,000,000 VND, Childbirth/Sickness/Funeral : 1,000,000 VND","166,667"
711,,,,0,0,その他収入,Other income,Thu nhập khác,,,,,,,,,Happy birthday,"200,000 VND/person","200,000"
,7118,,459900,Miscellaneous incomes,#N/A,その他収入,Other income,Thu nhập khác,,,,,,,,,チームビルディング（開発人員）,"プロジェクト毎に100,000VND/1人月","100,000"
811,,,,0,0,その他費用,Other expenses,Chi phí khác,,,,,,,,,チームビルディング（間接人員）,"四半期毎に200,000VND/ person","200,000"
,8111,,432900,Miscellaneous loss,雑費(振込手数料等),その他費用,"Other expenses - Compensation, fines and other costs","Chi phí khác - Bồi thường, bị phạt và CP khác",,,,,,,,,Mr.Shimizu's benefit (health insurance)_WELLBE,,"20,000,000"
,8118,,432900,Miscellaneous loss,雑費(振込手数料等),その他費用,Other expenses - Difference payment,Chi phí khác - Chênh lệch thanh toán,,,,,,,,,清水さん保険（損保ジャパン、疾病）,179.750 JPY,"28,760,000"
821,,,,0,0,法人税,Business Income tax charge,Chi phí thuế thu nhập doanh nghiệp,,,,,,,,,家族の保険（損保ジャパン、疾病）,179.750 JPY x 3,"86,280,000"
,8211,,510100,Current business income tax charge,法人税、住民税及び事業税,当期法人所得税,Current business income tax charge,Chi phí thuế TNDN hiện hành,,,,,,,,,TRC Mr.Shimizu and Family,TRC: 5.000.000/ 1 person;,"5,000,000"
,8212,,510200,,#N/A,繰延法人所得税,Deffered business income tax charge,Chi phí thuế TNDN hoãn lại,,,,,,,,,Happy Friday,1.500.000 vnd/ 1 time. Monthly: 6.000.000 vnd,"6,000,000"
,,,,,,,,Grand Total (合計）,,,,,,,,,"Technical certificate (learning and testing) 10,000,000 / 1person",,"10,000,000"
,,,,,,,,,,,,,,,,,"English, Japanese",,"30,000,000"
,,,,,,,,,,,6422,,,0,0,事務用品費,Indirect materials,Chi phí vật liệu quản lý,
,,,,,,,,,,,6423,,431700,Supplies expense,消耗品費,消耗工具備品費,Office supplies,Chi phí đồ dùng văn phòng,"10,000,000"
,,,,,,,,,,,6424,,432000,Depreciation expense,減価償却費,固定資産の減価償却費,Depreciation,Chi phí khấu hao TSCĐ,"177,778"
,,,,,,,,,,,6425,,431900,Taxes and dues,租税公課,租税公課,"Taxes, fees and charges","Thuế, phí và lệ phí",
,,,,,,,,,,,6426,,,0,0,引当金,Expenses from provisions,Chi phí dự phòng,
,,,,,,,,,,,6427,,,0,0,外部用役費,Services rendered by outsiders,Chi phí dịch vụ mua ngoài,
,,,,,,,,,,,,64271,432400,Rent expense,家賃地代,事務所レンタル料,Office rental fee,Chi phí thuê văn phòng,"220,000,000"
,,,,,,,,,,,,64272,431600,Utilities expense,水道光熱費,電話・インターネット・電気代,"Electricity, water,…","Tiền điện, nước,... (quản lý)","20,000,000"
,,,,,,,,,,,,64273,431500,Communication expense,通信費,電気通信料金,Telecommunications,"Dịch vụ viễn thông (điện thoại, internet, card...)",
,,,,,,,,,,,,,,,,,,diện thoại,"300,000"
,,,,,,,,,,,,,,,,,,internet,"1,250,000"
,,,,,,,,,,,,,,,,,,Mail,"1,500,000"
,,,,,,,,,,,,64274,432600,Commission,支払手数料,コンサルティング費用,"Consutanl fee (lawyer, recuitment, accounting...)","Chi phí dịch vụ tư vấn (kế toán, tuyển dụng,luật...)",
,,,,,,,,,,,,,,,,,,"3SI, service commission fee (Ubqlar)","66,400,000"
,,,,,,,,,,,,,,,,,,Recruite,"720,000,000"
,,,,,,,,,,,,,,,,,,Audit,"400,000,000"
,,,,,,,,,,,,,,,,,,AGS,"35,000,000"
,,,,,,,,,,,,,,,,,,EY (PIT),"200,000,000"
,,,,,,,,,,,,,,,,,,Legal fee (Transfer Price docs),"200,000,000"
,,,,,,,,,,,,,,,,,,D&O insurance,"55,000,000"
,,,,,,,,,,,,64275,439900,Other expenses,雑費(振込手数料等),銀行手数料,Bank charge,Phí ngân hàng,"6,000,000"
,,,,,,,,,,,,64276,431500,Communication expense,通信費,郵送費、他のサービス,Delivery fee,Phí vận chuyển,"22,000,000"
,,,,,,,,,,,,64278,432600,Commission,支払手数料,その他外部用役費,Other services,Chi phí dịch vụ mua ngoài khác,
,,,,,,,,,,,,,,,,,,Truong Xanh,"9,000,000"
,,,,,,,,,,,,,,,,,,"Cleaning (AC, chair)","5,400,000"
,,,,,,,,,,,,,,,,,,Konica,"3,000,000"
,,,,,,,,,,,,,,,,,,HRM system,"15,000,000"
,,,,,,,,,,,6428,,,0,0,その他現金出金,Sundry cash expenses,Chi phí bằng tiền khác,
,,,,,,,,,,,,64281,431300,Entertaiment expense,接待交際費,交際費,Public relations expenses,Chi phí tiếp khách,
,,,,,,,,,,,,64282,431400,Transportation expense,旅費交通費,出張費,Business trip expenses,Phí công tác,
,,,,,,,,,,,,64287,439900,Other expenses,雑費(振込手数料等),その他現金出金,Sundry cash expenses,Chi phí bằng tiền khác,
,,,,,,,,,,,,,,,,,,"Da Nang city, Disaster prevention fund","10,000,000"
,,,,,,,,,,,,,,,,,,Other fund,"50,000,000"
,,,,,,,,,,711,,,,0,0,その他収入,Other income,Thu nhập khác,
,,,,,,,,,,,7118,,459900,Miscellaneous incomes,#N/A,その他収入,Other income,Thu nhập khác,
,,,,,,,,,,811,,,,0,0,その他費用,Other expenses,Chi phí khác,
,,,,,,,,,,,8111,,432900,Miscellaneous loss,雑費(振込手数料等),その他費用,"Other expenses - Compensation, fines and other costs","Chi phí khác - Bồi thường, bị phạt và CP khác",
,,,,,,,,,,,8118,,432900,Miscellaneous loss,雑費(振込手数料等),その他費用,Other expenses - Difference payment,Chi phí khác - Chênh lệch thanh toán,
,,,,,,,,,,821,,,,0,0,法人税,Business Income tax charge,Chi phí thuế thu nhập doanh nghiệp,
,,,,,,,,,,,8211,,510100,Current business income tax charge,法人税、住民税及び事業税,当期法人所得税,Current business income tax charge,Chi phí thuế TNDN hiện hành,"80,000,000"
,,,,,,,,,,,8212,,510200,,#N/A,繰延法人所得税,Deffered business income tax charge,Chi phí thuế TNDN hoãn lại,
,,,,,,,,,,,,,,,,,,Grand Total (合計）,